  id   |                request_id                | api_key_id | account_id | group_id |      model      | requested_model | upstream_model | stream | duration_ms |          created_at           | inbound_endpoint | upstream_endpoint 
 68531 | req_b9400bca-7118-43bb-98fd-9538b14a1f39 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        8783 | 2026-05-20 14:03:52.09011+08  | /v1/messages     | /v1/messages
 68528 | req_a675f51c-12b7-4fb1-8544-4544314e34a3 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        2234 | 2026-05-20 14:03:45.536018+08 | /v1/messages     | /v1/messages
 68527 | req_d58c3404-0110-4d43-b6c2-ecf65b006d72 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       21753 | 2026-05-20 14:03:43.246752+08 | /v1/messages     | /v1/messages
 68524 | req_50b0eea2-a385-478b-87e7-2377a999709c |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       20251 | 2026-05-20 14:03:41.749201+08 | /v1/messages     | /v1/messages
 68523 | req_254c71df-ffc1-482f-964d-8a891bd17ec1 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       18680 | 2026-05-20 14:03:40.182806+08 | /v1/messages     | /v1/messages
 68522 | req_b8c71f75-d887-4e26-b54b-ea4c7b79f08c |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       17102 | 2026-05-20 14:03:38.609155+08 | /v1/messages     | /v1/messages
 68520 | req_ba25da94-bc69-4f64-9c8d-1a57366a7fc5 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       12940 | 2026-05-20 14:03:34.440307+08 | /v1/messages     | /v1/messages
 68519 | req_686d9909-f939-4804-992e-9b1283d7e1fb |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       11476 | 2026-05-20 14:03:32.981542+08 | /v1/messages     | /v1/messages
 68518 | req_88da4c37-9684-4b6f-ab41-02d8e447afe0 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        9969 | 2026-05-20 14:03:31.473044+08 | /v1/messages     | /v1/messages
 68517 | req_987158d9-c0b4-44a3-ac7b-06a9260a0ff0 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        5861 | 2026-05-20 14:03:27.358029+08 | /v1/messages     | /v1/messages
 68516 | req_ad0b8982-53bb-4eca-b056-a325fcf0d09c |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        3208 | 2026-05-20 14:03:24.716823+08 | /v1/messages     | /v1/messages
 68515 | req_80c8fb56-6396-46f9-bdd1-db4914520bd2 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        1678 | 2026-05-20 14:03:23.170245+08 | /v1/messages     | /v1/messages
 68514 | req_9b6c127e-a425-4e3b-9870-c50070f690fc |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       27249 | 2026-05-20 14:03:21.443114+08 | /v1/messages     | /v1/messages
 68512 | req_6f75a1ef-b56e-486d-97da-56e2c1cf0227 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       24963 | 2026-05-20 14:03:19.174171+08 | /v1/messages     | /v1/messages
 68511 | req_11985a18-972e-490e-aba3-5c889ce08f5c |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       22774 | 2026-05-20 14:03:16.985315+08 | /v1/messages     | /v1/messages
 68510 | req_8cc9d633-913c-4f3b-b018-3c911a04cb5c |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       21072 | 2026-05-20 14:03:15.281182+08 | /v1/messages     | /v1/messages
 68507 | req_71e6923a-1b85-499e-9d9e-23b724596562 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       17779 | 2026-05-20 14:03:11.990436+08 | /v1/messages     | /v1/messages
 68506 | req_db51d41d-9a51-4691-b64d-44ba15020ce6 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       15129 | 2026-05-20 14:03:09.337043+08 | /v1/messages     | /v1/messages
 68505 | req_d0f51038-87f2-4f85-bf99-d59533ec4b02 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       12885 | 2026-05-20 14:03:07.095041+08 | /v1/messages     | /v1/messages
 68503 | req_96990198-ae73-46b1-b910-6989d0afd640 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        8153 | 2026-05-20 14:03:02.366261+08 | /v1/messages     | /v1/messages
 68502 | req_f9135da6-5fd9-4230-958d-aba76ba57ed5 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        6364 | 2026-05-20 14:03:00.575069+08 | /v1/messages     | /v1/messages
 68501 | req_6f545c32-c660-4eef-bc53-fded951675e1 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        4764 | 2026-05-20 14:02:58.960542+08 | /v1/messages     | /v1/messages
 68500 | req_695c1682-3a11-4cf3-ae34-419aa7d042f4 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       30747 | 2026-05-20 14:02:53.958973+08 | /v1/messages     | /v1/messages
 68498 | req_8ae4c309-fdb4-46fe-9112-e4eed9d5577f |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       24267 | 2026-05-20 14:02:47.451788+08 | /v1/messages     | /v1/messages
 68497 | req_0ec2de7b-2c30-455c-94ee-c1a40d96601f |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       22788 | 2026-05-20 14:02:45.973029+08 | /v1/messages     | /v1/messages
 68495 | req_76653771-94ba-4c62-b632-5fa3e25f474b |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       21081 | 2026-05-20 14:02:44.284773+08 | /v1/messages     | /v1/messages
 68494 | req_49169b57-238c-4baf-aa21-8e1945bedb35 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       19423 | 2026-05-20 14:02:42.643869+08 | /v1/messages     | /v1/messages
 68491 | req_c57c26f3-b9f9-43a7-9838-ac3a65222409 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       15778 | 2026-05-20 14:02:38.968302+08 | /v1/messages     | /v1/messages
 68489 | req_7a1b1ef0-8ab4-4ac0-8b8e-410a028d0196 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       14261 | 2026-05-20 14:02:37.448259+08 | /v1/messages     | /v1/messages
 68487 | req_01ed1508-4f1c-4851-87cd-5cd7b52fb40e |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        9115 | 2026-05-20 14:02:32.295406+08 | /v1/messages     | /v1/messages
 68486 | req_0c9adcda-94f4-469c-aff6-a59bdd1fe82e |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        7490 | 2026-05-20 14:02:30.697322+08 | /v1/messages     | /v1/messages
 68484 | req_b9dcf7e6-ecc6-4dc3-b63a-6e9a51f5dd5e |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        3075 | 2026-05-20 14:02:26.257574+08 | /v1/messages     | /v1/messages
 68483 | req_662c402b-0168-4ad8-80fc-91261142df77 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       30142 | 2026-05-20 14:02:23.02977+08  | /v1/messages     | /v1/messages
 68482 | req_5ecb87f7-752e-4d1a-9d2f-c531a2a6996c |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       28598 | 2026-05-20 14:02:21.500985+08 | /v1/messages     | /v1/messages
 68480 | req_6c62530d-ae54-4e89-9d1d-e1a616c16a30 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       26960 | 2026-05-20 14:02:19.841954+08 | /v1/messages     | /v1/messages
 68479 | req_ec94790f-4385-4485-a26b-d0bfc0593cee |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       21944 | 2026-05-20 14:02:14.824644+08 | /v1/messages     | /v1/messages
 68478 | req_b3992f6e-c6a5-403f-a17c-8d4ad814b425 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       18356 | 2026-05-20 14:02:11.235821+08 | /v1/messages     | /v1/messages
 68475 | req_4684d3ab-04ad-4320-829a-0b9e9a8e3496 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       16158 | 2026-05-20 14:02:09.044338+08 | /v1/messages     | /v1/messages
 68474 | req_9c7b709a-209b-4738-9261-91e090ae475b |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       14395 | 2026-05-20 14:02:07.294951+08 | /v1/messages     | /v1/messages
 68473 | req_5d68ab93-83cf-40d8-9aad-49f75dbff86f |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       11310 | 2026-05-20 14:02:04.197209+08 | /v1/messages     | /v1/messages
 68471 | req_6e255ee2-d64f-4a42-9b74-7f0acd719010 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        9421 | 2026-05-20 14:02:02.307628+08 | /v1/messages     | /v1/messages
 68470 | req_f27d440a-b8c1-4980-b47e-6188ad5e574b |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        6576 | 2026-05-20 14:01:59.381232+08 | /v1/messages     | /v1/messages
 68468 | req_a201a3dc-2d3b-43ee-a734-df134fb59aff |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       33080 | 2026-05-20 14:01:52.52889+08  | /v1/messages     | /v1/messages
 68467 | req_8f56969b-bdfa-451a-8066-0fc6c8789953 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       31457 | 2026-05-20 14:01:50.902964+08 | /v1/messages     | /v1/messages
 68465 | req_f7b7fbb3-218b-479f-9b5f-d6ed761c6790 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       28873 | 2026-05-20 14:01:48.322894+08 | /v1/messages     | /v1/messages
 68463 | req_d966e244-3063-4bc2-a4b9-293d3f879455 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       26984 | 2026-05-20 14:01:46.430245+08 | /v1/messages     | /v1/messages
 68460 | generated:r2sulcvw0yj1c-6s               |          1 |         98 |        2 | claude-opus-4-7 | claude-opus-4-7 | gpt-5.5        | f      |        1126 | 2026-05-20 14:01:41.571504+08 | /v1/messages     | /v1/responses
 68458 | req_baeeedc7-9601-42a7-bce0-626dcd1da93b |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       20404 | 2026-05-20 14:01:39.857087+08 | /v1/messages     | /v1/messages
 68457 | req_6141c25e-ff35-403c-9b37-ca30a0fcd4af |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       16698 | 2026-05-20 14:01:36.141657+08 | /v1/messages     | /v1/messages
 68456 | req_a19aa2a9-70d4-4762-84df-b88268cd3f4f |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       15125 | 2026-05-20 14:01:34.598165+08 | /v1/messages     | /v1/messages
 68454 | req_f2d57e94-8d9b-4b8a-9728-bcfd84146fbb |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       12205 | 2026-05-20 14:01:31.649235+08 | /v1/messages     | /v1/messages
 68452 | req_fd9dce20-2141-450d-9fcc-6ff68f635a29 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        9385 | 2026-05-20 14:01:28.836129+08 | /v1/messages     | /v1/messages
 68450 | req_9bf0885d-f405-4593-9f5a-252aabb69726 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        4394 | 2026-05-20 14:01:23.83574+08  | /v1/messages     | /v1/messages
 68448 | req_625c65e6-a556-4cae-80f0-3aef9c336807 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       30269 | 2026-05-20 14:01:19.362972+08 | /v1/messages     | /v1/messages
 68447 | req_b7ecd6e1-a71f-43b1-a608-897773cfadbb |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       26401 | 2026-05-20 14:01:15.495975+08 | /v1/messages     | /v1/messages
 68445 | req_167c8d04-d96e-46e5-a37f-110f838dc444 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       24130 | 2026-05-20 14:01:13.225972+08 | /v1/messages     | /v1/messages
 68444 | req_172998e5-9b45-4f4b-abb8-72c2724619e8 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       22581 | 2026-05-20 14:01:11.688239+08 | /v1/messages     | /v1/messages
 68443 | req_c0189007-8f1f-4c92-9fc3-e0cce0ed404a |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       19593 | 2026-05-20 14:01:08.689395+08 | /v1/messages     | /v1/messages
 68442 | req_3c704d51-2b34-4b8b-8454-aa91b5791167 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       15199 | 2026-05-20 14:01:04.290984+08 | /v1/messages     | /v1/messages
 68440 | req_2ee029b5-55b1-4929-92f7-bf9946e6e396 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |       11456 | 2026-05-20 14:01:00.552631+08 | /v1/messages     | /v1/messages
 68437 | req_d7aa6428-5931-46ba-acb1-98cff3373c34 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        6487 | 2026-05-20 14:00:55.583328+08 | /v1/messages     | /v1/messages
 68436 | req_8e4cd038-aa6a-4749-9d40-b7444938977e |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        3644 | 2026-05-20 14:00:52.754669+08 | /v1/messages     | /v1/messages
